PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.5,0.5,2,0,0
1,BubbleCursor,0.5,0.5,2,799,0
1,BubbleCursor,0.5,0.5,2,665,0
1,BubbleCursor,0.5,0.5,2,1316,0
1,BubbleCursor,2,0.5,2,951,0
1,BubbleCursor,2,0.5,2,817,0
1,BubbleCursor,2,0.5,2,666,0
1,BubbleCursor,0.5,1,2,642,0
1,BubbleCursor,0.5,1,2,700,0
1,BubbleCursor,0.5,1,2,717,0
1,BubbleCursor,2,1,2,716,0
1,BubbleCursor,2,1,2,617,0
1,BubbleCursor,2,1,2,718,0
1,BubbleCursor,0.5,2,2,516,0
1,BubbleCursor,0.5,2,2,664,0
1,BubbleCursor,0.5,2,2,833,0
1,BubbleCursor,2,2,2,601,0
1,BubbleCursor,2,2,2,632,0
1,BubbleCursor,2,2,2,749,0
1,BubbleCursor,0.5,0.5,3,651,0
1,BubbleCursor,0.5,0.5,3,882,0
1,BubbleCursor,0.5,0.5,3,1465,0
1,BubbleCursor,2,0.5,3,683,0
1,BubbleCursor,2,0.5,3,715,0
1,BubbleCursor,2,0.5,3,667,0
1,BubbleCursor,0.5,1,3,850,0
1,BubbleCursor,0.5,1,3,582,0
1,BubbleCursor,0.5,1,3,1017,0
1,BubbleCursor,2,1,3,698,0
1,BubbleCursor,2,1,3,866,0
1,BubbleCursor,2,1,3,1800,2
1,BubbleCursor,0.5,2,3,983,1
1,BubbleCursor,0.5,2,3,566,0
1,BubbleCursor,0.5,2,3,783,0
1,BubbleCursor,2,2,3,667,0
1,BubbleCursor,2,2,3,533,0
1,BubbleCursor,2,2,3,733,0
